partID,productLine,prodCategory
part23e3f25,linec1,Marketables
part4708c16,line55,SpareParts
partb121b41,linec1,Marketables
part26d7f98,line55,SpareParts
part774fc4,linea3,Marketables
partffb9a3,linec1,Marketables
part0f88935,linec1,Marketables
part9894cfb,linec1,Marketables
part7edd958,linec1,Marketables
part271f626,linec1,Marketables
partdc6886f,line9b,Machines
part34b242f,line55,SpareParts
part09ceed3,line39,Machines
part98d0588,line9b,Machines
part3c6a466,line9b,Machines
part80da763,linec1,Marketables
part611a6b4,linec1,Marketables
part2ebefb,line9b,Machines
part09b1115,line9b,Machines
part6f0b08a,linec1,Marketables
part8beff19,linec1,Marketables
partd9dcdf6,linec1,Marketables
partd42840e,line9b,Machines
parta45b498,line9b,Machines
partbaae8fd,line9b,Machines
part70b4fc0,line9b,Machines
part0945ee9,line9b,Machines
partb9978af,line9b,Machines
part5cd144b,linec1,Marketables
partae67603,line9b,Machines
part36d462,line9b,Machines
part5152bb1,line9b,Machines
partf551d06,linec1,Marketables
partabce6e3,line55,SpareParts
part6305155,line9b,Machines
part8d9592a,line9b,Machines
part6219f09,line55,SpareParts
part0cb3678,line60,Machines
parted737af,line60,Machines
part1095c4f,line60,Machines
part4ce3c56,linec1,Marketables
part91e2565,line55,SpareParts
part5865da3,line55,SpareParts
partc57f03a,line55,SpareParts
partbb409f2,linec1,Marketables
parte0eb274,line55,SpareParts
partd2411f2,linec1,Marketables
part67cf3d2,linec1,Marketables
part93c0672,linec1,Marketables
part8fe6c45,linec1,Marketables
partea4cbc3,line55,SpareParts
part92ad8d4,linec1,Marketables
part8bc724,line55,SpareParts
part3318bef,line55,SpareParts
part99b2c00,line55,SpareParts
partee488e2,linec1,Marketables
part9e3b874,linec1,Marketables
part2a41f38,linec1,Marketables
part5dbbbda,linec1,Marketables
partf5e76a1,line55,SpareParts
part64547e0,line55,SpareParts
part403f9b9,line55,SpareParts
part995b44a,line55,SpareParts
part08e850b,line55,SpareParts
part8f4e0f,line9b,Machines
part3a21dcc,line9b,Machines
partc7b9a4e,linec1,Marketables
part5e4957,line55,SpareParts
part07b232b,line55,SpareParts
part37a2236,line55,SpareParts
parte0595ff,line55,SpareParts
part902a569,line55,SpareParts
parte53f5ba,line9b,Machines
partb2a849a,line55,SpareParts
parta92d99e,line55,SpareParts
part33444be,linea3,Marketables
part0aa170c,line55,SpareParts
partb284b8c,linec1,Marketables
partf74d847,line39,Machines
part7bc10bf,line39,Machines
part2cd2262,line9b,Machines
partbd61323,line9b,Machines
part32e9f5c,line9b,Machines
part25ea47e,line9b,Machines
part4b18e75,line9b,Machines
part9544335,line9b,Machines
part93eb7ba,line9b,Machines
part2902915,line9b,Machines
parte8ab307,line9b,Machines
partbe1ecdb,line9b,Machines
part7cb8f8e,line9b,Machines
part9d78e59,line9b,Machines
part522d90,linec1,Marketables
part65c4cbc,linec1,Marketables
part15b7c2a,linec1,Marketables
part3fe989,linec1,Marketables
part18e9534,linec1,Marketables
part1491cd1,linec1,Marketables
partac9764f,line9b,Machines
part201e4b8,line9b,Machines
part0475ae1,line9b,Machines
part17b2264,line55,SpareParts
part111d6eb,line55,SpareParts
part5592a90,line55,SpareParts
part03b94d7,line55,SpareParts
partf1f9aa8,linea3,Marketables
part11fb84,linea3,Marketables
partf756e27,linea3,Marketables
partc86c076,line9b,Machines
parte01974e,linec1,Marketables
part3109658,line9b,Machines
part47d5241,line9b,Machines
parte86dbab,line9b,Machines
partea62d2b,line9b,Machines
part1e363d2,line9b,Machines
parte811402,line9b,Machines
part9acce5e,linea3,Marketables
part6513e4e,line9b,Machines
part2d7934b,line9b,Machines
part3641c32,linec1,Marketables
part488262,line9b,Machines
part3dbba49,linef3,Machines
part5db60c0,linef3,Machines
part668e1b6,linef3,Machines
part3b7bc9f,linef3,Machines
partf5f5204,linef3,Machines
part572d3d6,linef3,Machines
part819ec9d,linef3,Machines
parta2a70c,line55,SpareParts
part1a5979a,line55,SpareParts
part5e75b6d,line55,SpareParts
partd30492f,linef3,Machines
part28c876b,linef3,Machines
partc82e647,linef3,Machines
partb2db614,linef3,Machines
part439fc03,linef3,Machines
part33ecc95,linef3,Machines
parta5d69a0,linef3,Machines
partf01264b,linef3,Machines
partc560ad3,linef3,Machines
part10706b1,line55,SpareParts
part270c368,linef3,Machines
part0367d31,linef3,Machines
part548c225,linef3,Machines
part30aa759,linea3,Marketables
part6aefcb1,line90,Machines
part041d6ba,line90,Machines
part5e6e834,line90,Machines
part391e380,line90,Machines
part78c9f1a,linec1,Marketables
partcd6ba7,linec1,Marketables
part50b094c,linea3,Marketables
part20c39da,linea3,Marketables
partb893d99,line4b,Machines
partaf8fb76,line4b,Machines
part1c700b4,line55,SpareParts
part92e062e,linea3,Marketables
parte2936b8,linea3,Marketables
part7206702,linea3,Marketables
part0275794,linea3,Marketables
parte43c237,linea3,Marketables
part944f2a1,linea3,Marketables
part74a938d,linea3,Marketables
part035376f,linea3,Marketables
parte3b5643,linea3,Marketables
parteb85db5,linec1,Marketables
partfad6be6,linec1,Marketables
partd18c8f8,line55,SpareParts
parta736828,line55,SpareParts
part3db2c7c,line9b,Machines
part3b1d8f3,line55,SpareParts
partab88949,line9b,Machines
partb1e8fbb,line55,SpareParts
part95831e2,line55,SpareParts
part5935c95,line9b,Machines
part5e4c74a,line55,SpareParts
part4b6da78,linec1,Marketables
part376630b,linec1,Marketables
part01d9699,line55,SpareParts
partf85c0fa,line55,SpareParts
part17cb606,linec1,Marketables
part48a6df7,linec1,Marketables
part5b405b5,line9b,Machines
part58b7ee8,line9b,Machines
partace3011,line9b,Machines
part0194ea7,line9b,Machines
part2ae133,linec1,Marketables
part51c83b1,linec1,Marketables
part3462437,linec1,Marketables
partd24cef9,line9b,Machines
part9ddb841,line55,SpareParts
part33f89d6,line9b,Machines
part6f5052f,line9b,Machines
partbee6294,linec1,Marketables
partbe5d606,line4b,Machines
partb5fa43e,linef3,Machines
part256f584,linef3,Machines
part40c9af8,line55,SpareParts
part69d9db1,linef3,Machines
part05ef772,linef3,Machines
part33aa33f,linef3,Machines
part556afb9,line55,SpareParts
part7a735d1,line55,SpareParts
part6e992ec,line55,SpareParts
partb85d6d1,linef3,Machines
parta379d2f,linef3,Machines
partbdf87b2,linef3,Machines
part278e045,linef3,Machines
partbb19c2a,line55,SpareParts
partcb6acbc,line55,SpareParts
partfc039b3,line55,SpareParts
partd9cafbe,line55,SpareParts
part9db44f7,linef3,Machines
part768aff6,linef3,Machines
part120df1f,linef3,Machines
part45b2019,line55,SpareParts
parte43d88,line55,SpareParts
parte6591e6,linef3,Machines
part7e729ce,linef3,Machines
partc667d2b,line55,SpareParts
part13288fe,linef3,Machines
partd0daada,line55,SpareParts
part30f5de0,linea3,Marketables
part6ad99d7,linea3,Marketables
part2ddc699,linea3,Marketables
part7b278c,linec1,Marketables
partcb2cf45,line55,SpareParts
partdffcbe0,line4b,Machines
parta920ff9,line55,SpareParts
part6aac4ad,line55,SpareParts
part62f11de,line55,SpareParts
part04da31b,linea3,Marketables
part7f58e1c,linea3,Marketables
part0f2be8a,linea3,Marketables
part73207f9,linea3,Marketables
part3c66d5,linea3,Marketables
part05fc3e0,linea3,Marketables
part956925a,linea3,Marketables
part51a2cc,linea3,Marketables
parteeebf5d,linea3,Marketables
part57cf10f,linea3,Marketables
part2c4dc08,linea3,Marketables
partb0a0457,linea3,Marketables
partbdfed49,linea3,Marketables
partd42c32a,linea3,Marketables
part7a29dca,line39,Machines
part89ceca2,line55,SpareParts
part240367c,line55,SpareParts
parta34c11e,line55,SpareParts
partdab1f5c,line55,SpareParts
partf5fc5f8,line4b,Machines
part928ce4c,line55,SpareParts
partd7cf98,line4b,Machines
partdf44cab,line55,SpareParts
part06c486c,line55,SpareParts
partdfad4e1,line55,SpareParts
partfccb663,line55,SpareParts
part6a78a87,linec1,Marketables
partc3976f3,line4b,Machines
partc8ada2b,line4b,Machines
part2fc2f73,line4b,Machines
partfa2f64,line55,SpareParts
part413c890,linec1,Marketables
partafdd19f,line4b,Machines
part7a7b723,line39,Machines
part64af9db,line4b,Machines
part59acce1,line4b,Machines
part472d67c,line4b,Machines
part7547885,line55,SpareParts
part03ec4c9,line55,SpareParts
part0370d04,line55,SpareParts
part5ab227a,line90,Machines
part411dc39,line90,Machines
part50df699,line90,Machines
part4807ac8,linec1,Marketables
part9e6b6a5,linea3,Marketables
partee18633,linec1,Marketables
part506420b,linec1,Marketables
partc0f13b1,linec1,Marketables
